date,student_name,center,city,grade,present
2024-03-20,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-21,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-22,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-23,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-24,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-25,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-26,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-27,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-28,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-29,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-30,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-03-31,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-01,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-02,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-03,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-04,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-05,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-06,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-07,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-08,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-09,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-10,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-11,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-12,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-13,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-14,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-04-15,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-16,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-17,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-18,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-19,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-20,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-21,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-22,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-23,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-24,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-04-25,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-26,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-27,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-28,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-29,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-04-30,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-01,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-02,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-03,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-04,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-05,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-06,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-07,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-05-08,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-09,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-10,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-11,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-12,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-13,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-14,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-15,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-16,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-17,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-18,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-19,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-20,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-21,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-22,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-05-23,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-24,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-25,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-26,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-27,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-05-28,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-29,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-30,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-05-31,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-01,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-02,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-03,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-06-04,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-05,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-06,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-07,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-08,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-09,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-06-10,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-06-11,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-12,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-13,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-14,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-15,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-16,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-17,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-18,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-19,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-20,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-21,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-22,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-23,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-06-24,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-06-25,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-26,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-27,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-28,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-29,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-06-30,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-01,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-02,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-03,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-04,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-05,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-06,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-07,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-08,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-07-09,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-10,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-11,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-12,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-13,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-14,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-15,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-16,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-17,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-18,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-19,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-20,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-07-21,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-07-22,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-23,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-24,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-25,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-26,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-27,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-28,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-29,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-07-30,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-07-31,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-01,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-02,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-03,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-04,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-05,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-06,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-07,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-08,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-09,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-10,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-11,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-12,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-08-13,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-14,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-08-15,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-16,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-17,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-18,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-19,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-20,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-21,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-08-22,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-23,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-24,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-25,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-26,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-27,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-28,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-08-29,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-30,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-08-31,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-01,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-09-02,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-03,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-04,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-05,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-06,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-07,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-08,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-09-09,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-10,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-09-11,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-12,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-13,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-14,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-15,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-16,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-17,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-18,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-19,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-20,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-09-21,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-22,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-23,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-24,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-25,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-26,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-27,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-28,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-29,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-09-30,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-01,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-02,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-03,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-04,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-05,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-06,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-07,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-08,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-09,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-10,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-11,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-12,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-13,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-14,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-15,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-16,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-17,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-18,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-19,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-10-20,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-10-21,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-22,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-23,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-24,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-25,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-26,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-27,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-28,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-29,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-10-30,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-10-31,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-01,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-02,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-03,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-04,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-11-05,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-11-06,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-07,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-08,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-09,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-10,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-11,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-11-12,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-13,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-14,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-15,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-16,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-17,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-18,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-19,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-20,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-21,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-22,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-23,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-24,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-25,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-26,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-11-27,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-28,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-29,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-11-30,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-01,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-02,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-03,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-04,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-05,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-06,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-07,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-08,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-09,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-10,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-11,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-12,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-13,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-14,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-15,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-16,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-17,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-18,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-19,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-20,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-21,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-22,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-23,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-24,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-25,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-26,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-27,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-28,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-29,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-12-30,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-12-31,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-01,Amit Patel,Pune-12,Pune,5th,1
2024-01-02,Amit Patel,Pune-12,Pune,5th,1
2024-01-03,Amit Patel,Pune-12,Pune,5th,1
2024-01-04,Amit Patel,Pune-12,Pune,5th,1
2024-01-05,Amit Patel,Pune-12,Pune,5th,1
2024-01-06,Amit Patel,Pune-12,Pune,5th,1
2024-01-07,Amit Patel,Pune-12,Pune,5th,1
2024-01-08,Amit Patel,Pune-12,Pune,5th,1
2024-01-09,Amit Patel,Pune-12,Pune,5th,1
2024-01-10,Amit Patel,Pune-12,Pune,5th,1
2024-01-11,Amit Patel,Pune-12,Pune,5th,1
2024-01-12,Amit Patel,Pune-12,Pune,5th,0
2024-01-13,Amit Patel,Pune-12,Pune,5th,1
2024-01-14,Amit Patel,Pune-12,Pune,5th,1
2024-01-15,Amit Patel,Pune-12,Pune,5th,1
2024-01-16,Amit Patel,Pune-12,Pune,5th,1
2024-01-17,Amit Patel,Pune-12,Pune,5th,1
2024-01-18,Amit Patel,Pune-12,Pune,5th,1
2024-01-19,Amit Patel,Pune-12,Pune,5th,1
2024-01-20,Amit Patel,Pune-12,Pune,5th,0
2024-01-21,Amit Patel,Pune-12,Pune,5th,1
2024-01-22,Amit Patel,Pune-12,Pune,5th,0
2024-01-23,Amit Patel,Pune-12,Pune,5th,1
2024-01-24,Amit Patel,Pune-12,Pune,5th,1
2024-01-25,Amit Patel,Pune-12,Pune,5th,0
2024-01-26,Amit Patel,Pune-12,Pune,5th,1
2024-01-27,Amit Patel,Pune-12,Pune,5th,1
2024-01-28,Amit Patel,Pune-12,Pune,5th,1
2024-01-29,Amit Patel,Pune-12,Pune,5th,1
2024-01-30,Amit Patel,Pune-12,Pune,5th,1
2024-01-31,Amit Patel,Pune-12,Pune,5th,1
2024-02-01,Amit Patel,Pune-12,Pune,5th,1
2024-02-02,Amit Patel,Pune-12,Pune,5th,1
2024-02-03,Amit Patel,Pune-12,Pune,5th,1
2024-02-04,Amit Patel,Pune-12,Pune,5th,1
2024-02-05,Amit Patel,Pune-12,Pune,5th,1
2024-02-06,Amit Patel,Pune-12,Pune,5th,1
2024-02-07,Amit Patel,Pune-12,Pune,5th,0
2024-02-08,Amit Patel,Pune-12,Pune,5th,1
2024-02-09,Amit Patel,Pune-12,Pune,5th,1
2024-02-10,Amit Patel,Pune-12,Pune,5th,1
2024-02-11,Amit Patel,Pune-12,Pune,5th,1
2024-02-12,Amit Patel,Pune-12,Pune,5th,1
2024-02-13,Amit Patel,Pune-12,Pune,5th,1
2024-02-14,Amit Patel,Pune-12,Pune,5th,0
2024-02-15,Amit Patel,Pune-12,Pune,5th,1
2024-02-16,Amit Patel,Pune-12,Pune,5th,1
2024-02-17,Amit Patel,Pune-12,Pune,5th,1
2024-02-18,Amit Patel,Pune-12,Pune,5th,0
2024-02-19,Amit Patel,Pune-12,Pune,5th,1
2024-02-20,Amit Patel,Pune-12,Pune,5th,1
2024-02-21,Amit Patel,Pune-12,Pune,5th,1
2024-02-22,Amit Patel,Pune-12,Pune,5th,0
2024-02-23,Amit Patel,Pune-12,Pune,5th,0
2024-02-24,Amit Patel,Pune-12,Pune,5th,1
2024-02-25,Amit Patel,Pune-12,Pune,5th,1
2024-02-26,Amit Patel,Pune-12,Pune,5th,1
2024-02-27,Amit Patel,Pune-12,Pune,5th,1
2024-02-28,Amit Patel,Pune-12,Pune,5th,1
2024-02-29,Amit Patel,Pune-12,Pune,5th,1
2024-03-01,Amit Patel,Pune-12,Pune,5th,1
2024-03-02,Amit Patel,Pune-12,Pune,5th,1
2024-03-03,Amit Patel,Pune-12,Pune,5th,1
2024-03-04,Amit Patel,Pune-12,Pune,5th,1
2024-03-05,Amit Patel,Pune-12,Pune,5th,1
2024-03-06,Amit Patel,Pune-12,Pune,5th,1
2024-03-07,Amit Patel,Pune-12,Pune,5th,1
2024-03-08,Amit Patel,Pune-12,Pune,5th,0
2024-03-09,Amit Patel,Pune-12,Pune,5th,1
2024-03-10,Amit Patel,Pune-12,Pune,5th,0
2024-03-11,Amit Patel,Pune-12,Pune,5th,1
2024-03-12,Amit Patel,Pune-12,Pune,5th,1
2024-03-13,Amit Patel,Pune-12,Pune,5th,1
2024-03-14,Amit Patel,Pune-12,Pune,5th,1
2024-03-15,Amit Patel,Pune-12,Pune,5th,0
2024-03-16,Amit Patel,Pune-12,Pune,5th,1
2024-03-17,Amit Patel,Pune-12,Pune,5th,1
2024-03-18,Amit Patel,Pune-12,Pune,5th,1
2024-03-19,Amit Patel,Pune-12,Pune,5th,1
2024-03-20,Amit Patel,Pune-12,Pune,5th,1
2024-03-21,Amit Patel,Pune-12,Pune,5th,1
2024-03-22,Amit Patel,Pune-12,Pune,5th,1
2024-03-23,Amit Patel,Pune-12,Pune,5th,1
2024-03-24,Amit Patel,Pune-12,Pune,5th,0
2024-03-25,Amit Patel,Pune-12,Pune,5th,1
2024-03-26,Amit Patel,Pune-12,Pune,5th,1
2024-03-27,Amit Patel,Pune-12,Pune,5th,1
2024-03-28,Amit Patel,Pune-12,Pune,5th,1
2024-03-29,Amit Patel,Pune-12,Pune,5th,1
2024-03-30,Amit Patel,Pune-12,Pune,5th,1
2024-03-31,Amit Patel,Pune-12,Pune,5th,1
2024-04-01,Amit Patel,Pune-12,Pune,5th,0
2024-04-02,Amit Patel,Pune-12,Pune,5th,1
2024-04-03,Amit Patel,Pune-12,Pune,5th,1
2024-04-04,Amit Patel,Pune-12,Pune,5th,1
2024-04-05,Amit Patel,Pune-12,Pune,5th,1
2024-04-06,Amit Patel,Pune-12,Pune,5th,1
2024-04-07,Amit Patel,Pune-12,Pune,5th,1
2024-04-08,Amit Patel,Pune-12,Pune,5th,1
2024-04-09,Amit Patel,Pune-12,Pune,5th,1
2024-04-10,Amit Patel,Pune-12,Pune,5th,1
2024-04-11,Amit Patel,Pune-12,Pune,5th,0
2024-04-12,Amit Patel,Pune-12,Pune,5th,1
2024-04-13,Amit Patel,Pune-12,Pune,5th,1
2024-04-14,Amit Patel,Pune-12,Pune,5th,1
2024-04-15,Amit Patel,Pune-12,Pune,5th,1
2024-04-16,Amit Patel,Pune-12,Pune,5th,1
2024-04-17,Amit Patel,Pune-12,Pune,5th,1
2024-04-18,Amit Patel,Pune-12,Pune,5th,1
2024-04-19,Amit Patel,Pune-12,Pune,5th,1
2024-04-20,Amit Patel,Pune-12,Pune,5th,1
2024-04-21,Amit Patel,Pune-12,Pune,5th,1
2024-04-22,Amit Patel,Pune-12,Pune,5th,1
2024-04-23,Amit Patel,Pune-12,Pune,5th,1
2024-04-24,Amit Patel,Pune-12,Pune,5th,1
2024-04-25,Amit Patel,Pune-12,Pune,5th,1
2024-04-26,Amit Patel,Pune-12,Pune,5th,0
2024-04-27,Amit Patel,Pune-12,Pune,5th,1
2024-04-28,Amit Patel,Pune-12,Pune,5th,1
2024-04-29,Amit Patel,Pune-12,Pune,5th,1
2024-04-30,Amit Patel,Pune-12,Pune,5th,1
2024-05-01,Amit Patel,Pune-12,Pune,5th,0
2024-05-02,Amit Patel,Pune-12,Pune,5th,1
2024-05-03,Amit Patel,Pune-12,Pune,5th,1
2024-05-04,Amit Patel,Pune-12,Pune,5th,1
2024-05-05,Amit Patel,Pune-12,Pune,5th,0
2024-05-06,Amit Patel,Pune-12,Pune,5th,1
2024-05-07,Amit Patel,Pune-12,Pune,5th,1
2024-05-08,Amit Patel,Pune-12,Pune,5th,0
2024-05-09,Amit Patel,Pune-12,Pune,5th,0
2024-05-10,Amit Patel,Pune-12,Pune,5th,0
2024-05-11,Amit Patel,Pune-12,Pune,5th,1
2024-05-12,Amit Patel,Pune-12,Pune,5th,1
2024-05-13,Amit Patel,Pune-12,Pune,5th,1
2024-05-14,Amit Patel,Pune-12,Pune,5th,0
2024-05-15,Amit Patel,Pune-12,Pune,5th,1
2024-05-16,Amit Patel,Pune-12,Pune,5th,0
2024-05-17,Amit Patel,Pune-12,Pune,5th,1
2024-05-18,Amit Patel,Pune-12,Pune,5th,1
2024-05-19,Amit Patel,Pune-12,Pune,5th,1
2024-05-20,Amit Patel,Pune-12,Pune,5th,1
2024-05-21,Amit Patel,Pune-12,Pune,5th,1
2024-05-22,Amit Patel,Pune-12,Pune,5th,1
2024-05-23,Amit Patel,Pune-12,Pune,5th,1
2024-05-24,Amit Patel,Pune-12,Pune,5th,1
2024-05-25,Amit Patel,Pune-12,Pune,5th,1
2024-05-26,Amit Patel,Pune-12,Pune,5th,1
2024-05-27,Amit Patel,Pune-12,Pune,5th,1
2024-05-28,Amit Patel,Pune-12,Pune,5th,1
2024-05-29,Amit Patel,Pune-12,Pune,5th,1
2024-05-30,Amit Patel,Pune-12,Pune,5th,0
2024-05-31,Amit Patel,Pune-12,Pune,5th,1
2024-06-01,Amit Patel,Pune-12,Pune,5th,1
2024-06-02,Amit Patel,Pune-12,Pune,5th,1
2024-06-03,Amit Patel,Pune-12,Pune,5th,1
